"Distance from Start (km)","Height Above Sea Level (m)","Comments"
0,141,""
0.09,142,"Highest Point"
0.18,140,""
0.27,136,""
0.36,135,""
0.45,128,""
0.54,125,"Steepest downhill"
0.63,113,""
0.72,109,""
0.81,109,""
0.9,104,""
0.99,101,""
1.08,99,""
1.17,99,""
1.26,101,""
1.35,108,""
1.44,107,""
1.53,106,""
1.62,110,""
1.71,110,""
1.8,107,""
1.89,104,""
1.98,101,""
2.07,100,""
2.16,100,""
2.25,97,""
2.34,96,""
2.43,97,""
2.52,95,""
2.61,96,""
2.7,100,""
2.79,102,""
2.88,100,""
2.97,96,""
3.06,96,""
3.15,96,""
3.24,95,""
3.33,92,""
3.42,90,""
3.51,89,""
3.6,86,""
3.69,87,""
3.78,88,""
3.87,90,""
3.96,92,""
4.05,93,""
4.14,92,""
4.23,89,""
4.32,83,""
4.41,81,""
4.5,78,""
4.59,76,""
4.68,73,""
4.77,74,""
4.86,74,""
4.95,75,""
5.04,75,""
5.13,70,""
5.22,67,""
5.31,66,""
5.4,66,""
5.49,61,""
5.58,59,""
5.67,61,""
5.76,60,""
5.85,58,""
5.94,57,""
6.03,56,""
6.12,55,""
6.21,55,""
6.3,54,""
6.39,54,""
6.48,54,""
6.57,54,""
6.66,57,""
6.75,57,""
6.84,54,""
6.93,54,""
7.02,55,""
7.11,57,""
7.2,61,""
7.29,63,""
7.38,64,""
7.47,63,""
7.56,66,""
7.65,63,""
7.74,64,""
7.83,64,""
7.92,66,""
8.01,62,""
8.1,60,""
8.19,59,""
8.28,59,""
8.37,58,""
8.46,61,""
8.55,59,""
8.64,56,""
8.73,55,""
8.82,55,""
8.91,56,""
9,58,""
9.09,58,""
9.18,58,""
9.27,57,""
9.36,54,""
9.45,56,""
9.54,57,""
9.63,56,""
9.72,54,""
9.81,51,""
9.9,51,""
9.99,51,""
10.08,52,""
10.17,49,""
10.26,48,""
10.35,49,""
10.44,49,""
10.53,51,""
10.62,50,""
10.71,49,""
10.8,49,""
10.89,49,""
10.98,49,""
11.07,49,""
11.16,48,""
11.25,48,""
11.34,48,""
11.43,48,""
11.52,48,""
11.61,47,""
11.7,47,""
11.79,47,""
11.88,48,""
11.97,48,""
12.06,48,""
12.15,47,""
12.24,46,""
12.33,46,""
12.42,45,""
12.51,45,""
12.6,46,""
12.69,52,""
12.78,56,""
12.87,54,""
12.96,50,""
13.05,48,""
13.14,48,""
13.23,46,""
13.32,46,""
13.41,50,""
13.5,50,""
13.59,48,""
13.68,47,""
13.77,48,""
13.86,51,""
13.95,48,""
14.04,43,""
14.13,47,""
14.22,44,""
14.31,44,""
14.4,44,""
14.49,45,""
14.58,45,""
14.67,46,""
14.76,46,""
14.85,45,""
14.94,45,""
15.03,44,""
15.12,43,""
15.21,43,""
15.3,44,""
15.39,47,""
15.48,47,""
15.57,46,""
15.66,50,""
15.75,51,""
15.84,51,""
15.93,52,""
16.02,53,""
16.11,52,""
16.2,49,""
16.29,50,""
16.38,51,""
16.47,53,""
16.56,53,""
16.65,53,""
16.74,54,""
16.83,54,""
16.92,55,""
17.01,57,""
17.1,56,""
17.19,55,""
17.28,56,""
17.37,56,""
17.46,55,""
17.55,55,""
17.64,57,""
17.73,59,""
17.82,57,""
17.91,58,""
18,59,""
18.09,58,""
18.18,62,""
18.27,62,""
18.36,60,""
18.45,60,""
18.54,57,""
18.63,54,""
18.72,52,""
18.81,52,""
18.9,51,""
18.99,51,""
19.08,53,""
19.17,51,""
19.26,48,""
19.35,47,""
19.44,42,""
19.53,44,""
19.62,44,""
19.71,46,""
19.8,47,""
19.89,46,""
19.98,45,""
20.07,46,""
20.16,48,""
20.25,47,""
20.34,45,""
20.43,45,""
20.52,45,""
20.61,41,""
20.7,41,""
20.79,41,""
20.88,41,""
20.97,42,""
21.06,45,""
21.15,43,""
21.24,42,""
21.33,43,""
21.42,44,""
21.51,44,""
21.6,38,""
21.69,38,""
21.78,37,""
21.87,36,""
21.96,38,""
22.05,42,""
22.14,42,""
22.23,42,""
22.32,42,""
22.41,43,""
22.5,41,""
22.59,41,""
22.68,41,""
22.77,42,""
22.86,42,""
22.95,42,""
23.04,43,""
23.13,44,""
23.22,44,""
23.31,45,""
23.4,45,""
23.49,49,""
23.58,53,""
23.67,45,""
23.76,45,""
23.85,45,""
23.94,47,""
24.03,47,""
24.12,48,""
24.21,44,""
24.3,48,""
24.39,49,""
24.48,50,""
24.57,50,""
24.66,52,""
24.75,52,""
24.84,52,""
24.93,52,""
25.02,50,""
25.11,49,""
25.2,45,""
25.29,41,""
25.38,37,""
25.47,32,""
25.56,26,""
25.65,21,""
25.74,19,""
25.83,16,""
25.92,15,""
26.01,14,""
26.1,18,""
26.19,19,""
26.28,21,""
26.37,22,""
26.46,25,""
26.55,26,""
26.64,25,"Steepest uphill"
26.73,33,""
26.82,35,""
26.91,37,""
27,40,""
27.09,35,""
27.18,33,""
27.27,32,""
27.36,35,""
27.45,35,""
27.54,34,""
27.63,33,""
27.72,31,""
27.81,33,""
27.9,34,""
27.99,32,""
28.08,31,""
28.17,31,""
28.26,30,""
28.35,29,""
28.44,27,""
28.53,26,""
28.62,27,""
28.71,32,""
28.8,37,""
28.89,41,""
28.98,46,""
29.07,49,""
29.16,46,""
29.25,42,""
29.34,43,""
29.43,45,""
29.52,48,""
29.61,47,""
29.7,46,""
29.79,44,""
29.88,44,""
29.97,44,""
30.06,43,""
30.15,43,""
30.24,42,""
30.33,43,""
30.42,41,""
30.51,40,""
30.6,37,""
30.69,38,""
30.78,35,""
30.87,33,""
30.96,31,""
31.05,33,""
31.14,32,""
31.23,28,""
31.32,29,""
31.41,37,""
31.5,40,""
31.59,44,""
31.68,45,""
31.77,47,""
31.86,47,""
31.95,49,""
32.04,48,""
32.13,46,""
32.22,44,""
32.31,44,""
32.4,43,"Start of longest uphill"
32.49,44,""
32.58,44,""
32.67,44,""
32.76,44,""
32.85,44,""
32.94,44,""
33.03,44,""
33.12,48,""
33.21,50,""
33.3,55,""
33.39,60,""
33.48,64,""
33.57,70,""
33.66,73,""
33.75,72,""
33.84,71,""
33.93,71,""
34.02,73,""
34.11,71,""
34.2,70,""
34.29,67,""
34.38,64,""
34.47,61,""
34.56,57,""
34.65,52,""
34.74,49,""
34.83,45,""
34.92,44,""
35.01,45,""
35.1,45,""
35.19,44,""
35.28,44,""
35.37,45,""
35.46,47,""
35.55,48,""
35.64,48,""
35.73,48,""
35.82,46,""
35.91,43,""
36,44,""
36.09,41,""
36.18,37,""
36.27,34,""
36.36,33,""
36.45,31,""
36.54,30,""
36.63,29,""
36.72,29,""
36.81,29,""
36.9,29,""
36.99,29,""
37.08,30,""
37.17,32,""
37.26,33,""
37.35,34,""
37.44,36,""
37.53,33,""
37.62,29,""
37.71,27,""
37.8,28,""
37.89,30,""
37.98,28,""
38.07,24,""
38.16,23,""
38.25,24,""
38.34,24,"Start of longest downhill"
38.43,22,""
38.52,20,""
38.61,19,""
38.7,18,""
38.79,17,""
38.88,16,""
38.97,15,""
39.06,12,""
39.15,9,""
39.24,7,""
39.33,7,""
39.42,7,""
39.51,7,""
39.6,7,""
39.69,6,""
39.78,6,""
39.87,5,""
39.96,5,""
40.05,5,""
40.14,5,""
40.23,5,""
40.32,5,""
40.41,5,""
40.5,5,""
40.59,8,""
40.68,5,""
40.77,6,""
40.86,6,""
40.95,5,""
41.04,5,""
41.13,4,""
41.22,4,""
41.31,3,"Lowest Point"
41.4,3,""
41.49,3,""
41.58,4,""
41.67,5,""
41.76,5,""
